Year Election,City Code,City,Num Votes,Position
2016,5000252,Alcinópolis,1270,right
2016,5000609,Amambai,7221,centre
2016,5000708,Anastácio,6542,centre
2016,5000807,Anaurilândia,2941,centre
2016,5000856,Angélica,3334,left
2016,5000906,Antônio João,2394,centre
2016,5001003,Aparecida do Taboado,6041,left
2016,5001102,Aquidauana,15061,centre
2016,5001243,Aral Moreira,2558,right
2016,5001508,Bandeirantes,1539,right
2016,5001904,Bataguassu,7638,centre
2016,5002001,Batayporã,3727,centre
2016,5002100,Bela Vista,3527,centre
2016,5002159,Bodoquena,3125,centre
2016,5002209,Bonito,7279,centre
2016,5002308,Brasilândia,4012,centre
2016,5002407,Caarapó,9718,right
2016,5002605,Camapuã,5064,centre
2016,5002704,Campo Grande,389570,centre
2016,5002803,Caracol,2097,right
2016,5002902,Cassilândia,6956,centre
2016,5002951,Chapadão do Sul,6082,centre
2016,5003108,Corguinho,1912,centre
2016,5003157,Coronel Sapucaia,4454,centre
2016,5003207,Corumbá,23566,centre
2016,5003256,Costa Rica,10426,right
2016,5003306,Coxim,11350,right
2016,5003454,Deodápolis,4711,centre
2016,5003488,Dois Irmãos do Buriti,3547,centre
2016,5003504,Douradina,3145,far-right
2016,5003702,Dourados,43252,right
2016,5003751,Eldorado,3731,far-right
2016,5003900,Figueirão,1102,centre
2016,5003801,Fátima do Sul,6882,right
2016,5004007,Glória de Dourados,2388,centre
2016,5004106,Guia Lopes da Laguna,3215,centre
2016,5004304,Iguatemi,2919,centre
2016,5004403,Inocência,2804,centre
2016,5004502,Itaporã,6699,right
2016,5004601,Itaquiraí,5528,centre
2016,5004700,Ivinhema,8030,centre
2016,5004809,Japorã,2583,right
2016,5004908,Jaraguari,2206,centre
2016,5005004,Jardim,7538,centre
2016,5005103,Jateí,2356,left
2016,5005152,Juti,2603,centre
2016,5005202,Ladário,4281,centre
2016,5005251,Laguna Carapã,2208,centre
2016,5005400,Maracaju,14321,centre
2016,5005608,Miranda,7140,right
2016,5005681,Mundo Novo,6382,right
2016,5005707,Naviraí,19120,right
2016,5005806,Nioaque,5613,centre
2016,5006002,Nova Alvorada do Sul,6738,centre
2016,5006200,Nova Andradina,10172,right
2016,5006259,Novo Horizonte do Sul,2253,left
2016,5006309,Paranaíba,11357,centre
2016,5006358,Paranhos,3774,centre
2016,5006275,Paraíso das Águas,2124,centre
2016,5006408,Pedro Gomes,2924,centre
2016,5006606,Ponta Porã,27193,centre
2016,5006903,Porto Murtinho,4357,centre
2016,5007109,Ribas do Rio Pardo,6306,centre
2016,5007208,Rio Brilhante,10243,centre
2016,5007307,Rio Negro,1791,centre
2016,5007406,Rio Verde de Mato Grosso,5404,right
2016,5007505,Rochedo,2073,centre
2016,5007554,Santa Rita do Pardo,2373,centre
2016,5007802,Selvíria,2954,right
2016,5007703,Sete Quedas,3679,centre
2016,5007901,Sidrolândia,11605,right
2016,5007935,Sonora,5423,centre
2016,5007695,São Gabriel do Oeste,7451,centre
2016,5007950,Tacuru,2737,right
2016,5007976,Taquarussu,1469,centre
2016,5008008,Terenos,5158,left
2016,5008305,Três Lagoas,30033,centre
2016,5008404,Vicentina,2389,centre
2016,5000203,Água Clara,4398,left
