State,Position,Count
AC,far-right,266072
AL,centre,687247
AP,far-right,175817
AM,far-right,837009
BA,centre,4441955
CE,left,1998597
DF,far-right,963419
ES,far-right,1163865
GO,far-right,1902035
MA,centre,2062638
MT,far-right,994026
MS,far-right,783453
MG,far-right,5418101
PA,centre,1714822
PB,centre,984398
PR,far-right,3536403
PE,centre,2309104
PI,centre,1172147
RJ,far-right,5319179
RN,centre,738165
RS,far-right,3389081
RO,far-right,548127
RR,far-right,177234
SC,far-right,2626057
SP,far-right,12652684
SE,centre,571234
TO,far-right,344066
